Linux 3.4.94 (localhost.localdomain) 	11/08/2017 	_x86_64_	(16 CPU)

08:40:23 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:48:51 PM     all      0.59      0.00      0.22      0.00      0.00     99.19
08:48:53 PM     all      1.22      0.00      0.22      0.00      0.00     98.56
08:48:55 PM     all      0.09      0.00      0.00      0.00      0.00     99.91
08:48:57 PM     all      0.41      0.00      0.12      0.00      0.00     99.47
08:48:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:49:01 PM     all      1.13      0.03      0.28      0.00      0.00     98.56
08:49:03 PM     all      0.66      0.00      0.13      0.00      0.00     99.22
08:49:05 PM     all      0.31      0.00      0.03      0.00      0.00     99.66
08:49:07 PM     all      0.56      0.00      0.16      0.00      0.00     99.28
08:49:09 PM     all      0.22      0.00      0.03      0.00      0.00     99.75
08:49:11 PM     all      0.13      0.00      0.06      0.00      0.00     99.81
08:49:13 PM     all      0.66      0.00      0.16      0.00      0.00     99.19
08:49:15 PM     all      0.31      0.00      0.06      0.00      0.00     99.62
08:49:17 PM     all      0.56      0.00      0.16      0.00      0.00     99.28
08:49:19 PM     all      0.22      0.00      0.06      0.00      0.00     99.72
08:49:21 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
08:49:23 PM     all      0.59      0.00      0.16      0.00      0.00     99.25
08:49:25 PM     all      0.28      0.00      0.06      0.00      0.00     99.66
08:49:27 PM     all      0.66      0.00      0.28      0.00      0.00     99.06
08:49:29 PM     all      0.25      0.00      0.06      0.00      0.00     99.69
08:49:31 PM     all      0.16      0.00      0.09      0.00      0.00     99.75
08:49:33 PM     all      0.38      0.00      0.09      0.00      0.00     99.53
08:49:35 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:49:37 PM     all      0.34      0.00      0.16      0.00      0.00     99.50
08:49:39 PM     all      0.13      0.00      0.06      0.00      0.00     99.81
08:49:41 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:49:43 PM     all      0.84      0.00      0.25      0.00      0.00     98.91
08:49:45 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:49:47 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:49:49 PM     all      0.28      0.00      0.13      0.00      0.00     99.59
08:49:51 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
08:49:53 PM     all      1.00      0.03      0.25      0.00      0.00     98.72
08:49:55 PM     all      0.69      0.00      0.09      0.00      0.00     99.22
08:49:57 PM     all      0.53      0.00      0.06      0.00      0.00     99.41
08:49:59 PM     all      0.81      0.00      0.16      0.00      0.00     99.03
08:50:01 PM     all      1.78      0.00      0.31      0.00      0.00     97.90
08:50:03 PM     all      1.31      0.00      0.31      0.03      0.00     98.34
08:50:05 PM     all      0.94      0.00      0.13      0.00      0.00     98.94
08:50:07 PM     all      0.81      0.00      0.13      0.00      0.00     99.06
08:50:09 PM     all      0.75      0.00      0.13      0.00      0.00     99.12
08:50:11 PM     all      0.85      0.00      0.09      0.00      0.00     99.06
08:50:13 PM     all      1.03      0.00      0.09      0.00      0.00     98.87
08:50:15 PM     all      1.00      0.00      0.16      0.00      0.00     98.84
08:50:17 PM     all      0.91      0.00      0.09      0.00      0.00     99.00
08:50:19 PM     all      0.75      0.00      0.06      0.00      0.00     99.19
08:50:21 PM     all      0.78      0.00      0.13      0.00      0.00     99.09
08:50:23 PM     all      0.81      0.00      0.09      0.00      0.00     99.09
Average:        all      0.67      0.03      0.21      0.01      0.00     99.08
