Linux 3.18.58 (localhost.localdomain) 	12/12/2017 	_x86_64_	(16 CPU)

07:31:20 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:39:34 PM     all      0.44      0.00      0.03      0.00      0.00     99.53
07:39:36 PM     all      0.41      0.00      0.03      0.00      0.00     99.56
07:39:38 PM     all      0.69      0.00      0.06      0.00      0.00     99.25
07:39:40 PM     all      0.47      0.00      0.09      0.00      0.00     99.44
07:39:42 PM     all      0.44      0.00      0.06      0.00      0.00     99.50
07:39:44 PM     all      0.44      0.00      0.03      0.03      0.00     99.50
07:39:46 PM     all      0.38      0.00      0.06      0.00      0.00     99.56
07:39:48 PM     all      0.31      0.00      0.09      0.00      0.00     99.59
07:39:50 PM     all      0.59      0.00      0.06      0.00      0.00     99.34
07:39:52 PM     all      0.53      0.00      0.06      0.00      0.00     99.41
07:39:54 PM     all      0.50      0.00      0.06      0.00      0.00     99.44
07:39:56 PM     all      0.41      0.00      0.06      0.00      0.00     99.53
07:39:58 PM     all      0.38      0.00      0.06      0.00      0.00     99.56
07:40:00 PM     all      1.72      0.03      0.31      0.00      0.00     97.93
07:40:02 PM     all      0.97      0.00      0.16      0.00      0.00     98.87
07:40:04 PM     all      0.50      0.00      0.06      0.00      0.00     99.44
07:40:06 PM     all      0.44      0.00      0.06      0.00      0.00     99.50
07:40:08 PM     all      0.47      0.00      0.06      0.00      0.00     99.47
07:40:10 PM     all      0.50      0.00      0.06      0.00      0.00     99.44
07:40:12 PM     all      0.53      0.00      0.09      0.00      0.00     99.37
07:40:14 PM     all      0.41      0.00      0.06      0.00      0.00     99.53
07:40:16 PM     all      0.50      0.00      0.09      0.00      0.00     99.41
07:40:18 PM     all      0.47      0.00      0.13      0.00      0.00     99.41
07:40:20 PM     all      1.53      0.00      0.22      0.00      0.00     98.25
07:40:22 PM     all      1.22      0.00      0.13      0.00      0.00     98.65
07:40:24 PM     all      1.06      0.00      0.13      0.00      0.00     98.81
07:40:26 PM     all      0.85      0.00      0.09      0.00      0.00     99.06
07:40:28 PM     all      0.78      0.00      0.09      0.00      0.00     99.12
07:40:30 PM     all      2.41      0.00      0.50      0.00      0.00     97.09
07:40:32 PM     all      1.00      0.00      0.09      0.00      0.00     98.90
07:40:34 PM     all      1.10      0.00      0.13      0.00      0.00     98.78
07:40:36 PM     all      1.00      0.00      0.16      0.00      0.00     98.84
07:40:38 PM     all      0.97      0.00      0.13      0.00      0.00     98.90
07:40:40 PM     all      0.94      0.00      0.13      0.00      0.00     98.94
07:40:42 PM     all      0.84      0.00      0.06      0.00      0.00     99.09
07:40:44 PM     all      0.81      0.00      0.09      0.00      0.00     99.09
07:40:46 PM     all      0.91      0.00      0.09      0.00      0.00     99.00
07:40:48 PM     all      1.16      0.00      0.13      0.00      0.00     98.72
07:40:50 PM     all      1.00      0.00      0.06      0.00      0.00     98.94
07:40:52 PM     all      0.94      0.00      0.09      0.00      0.00     98.97
07:40:54 PM     all      0.75      0.00      0.09      0.00      0.00     99.15
07:40:56 PM     all      0.78      0.00      0.06      0.00      0.00     99.15
07:40:58 PM     all      0.91      0.00      0.19      0.00      0.00     98.90
07:41:00 PM     all      0.16      0.00      0.03      0.00      0.00     99.81
07:41:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:41:04 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:41:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:41:08 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:41:10 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:41:12 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:41:14 PM     all      0.88      0.03      0.22      0.00      0.00     98.87
07:41:16 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:41:18 PM     all      0.94      0.00      0.31      0.00      0.00     98.75
07:41:20 PM     all      1.09      0.00      0.19      0.00      0.00     98.72
Average:        all      0.77      0.03      0.19      0.01      0.00     99.00
